id_transaction,id_affilieur,id_programme,id_session,effi_id,effi_id2,type,montant,commission,statut,date,dateclic,datetran,datevalidation,en_session,ref,ref2,ref3,ref4,ref5,ip,payed,nom_programme,referer,nom_support,id_typelien,appareil,type_appareil,el,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,ref6,ref7,ref8,ref9,ref10,ref11,ref12,ref13,ref14,ref15,ref16,ref17,ref18,ref19,ref20
493596978,660008527,315003835,1395684694,-1023bceb29039088191a4ac39a72a1,NULL,L,0.00000,0.65000,Attente,2017-02-13 08:12:16.053,2017-02-13 08:11:04.0,2017-02-13 08:12:16.053,1900-01-01 00:00:00.0,,2020761354,inscription,OPTIN,,,92.143.1.1,0,Programme 1,http://track.referrer.com/aff_r?offer_id,Soldes 2017 - 468x60,1,computer,,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,,,,,
493597724,660008527,315003835,1395684694,-1022689f6f34e0f48dd0ced4b7fd8d,NULL,L,0.00000,0.15000,Attente,2017-02-13 10:02:19.75,2017-02-13 10:00:57.0,2017-02-13 10:02:19.75,1900-01-01 00:00:00.0,,2020763159,inscription,NON-OPTIN,,,88.175.1.1,0,Programme 1,http://track.referrer.com/aff_r?offer_id,Soldes 2017 - 468x60,1,computer,,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,,,,,
505337430,660010770,315004855,1396001808,1-4-323085832-22853429,NULL,S,203.33000,6.09990,Attente,2017-02-13 19:24:35.607,2017-02-13 13:07:08.563,2017-02-13 19:24:35.607,1900-01-01 00:00:00.0,,170213T011430045,,,,,185.16.1.1,0,Programme 2,,Generique-728x90,1,computer,,203.33000,0.00000,203.33000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,,,,,
